10000 50
649 3788 14883
650 15552 4900
651 1387 2590
652 19427 10354
653 4795 6949
654 8507 3037
655 6093 17108
656 19665 5418
657 8821 15922
658 14167 18481
659 6355 5995
660 8438 14124
661 19485 12934
662 6313 6318
663 19018 13932
664 5166 6710
665 11609 19157
666 1746 17070
667 7423 12996
668 16296 1172
669 560 8570
670 5677 4802
671 6572 6653
672 18926 5341
673 173 11744
674 14090 13092
675 3567 6528
676 15813 18879
677 5197 3051
678 13334 2125
679 5187 4214
680 3371 18500
681 15569 16795
682 6142 5116
683 2640 19343
684 4264 2438
685 3591 3199
686 6203 9940
687 11632 6514
688 18258 5129
689 14572 11805
690 14684 12347
691 11226 18139
692 17541 10496
693 8973 16422
694 635 7227
695 5726 14159
696 10953 357
697 5473 17646
698 13340 13447
699 15884 8112
700 7662 17604
701 7543 15826
702 2340 10217
703 15345 19175
704 7331 597
705 9295 6268
706 758 2014
707 8861 520
708 13293 14651
709 1877 17833
710 11991 10280
711 10636 3954
712 1599 19296
713 12742 16108
714 571 14938
715 12541 4977
716 802 4585
717 14801 84
718 15610 19493
719 16441 6497
720 12764 2940
721 1305 5736
722 2607 9874
723 4524 10165
724 4350 12252
725 2531 2752
726 6705 16340
727 11987 13166
728 5626 8303
729 19592 1080
730 2408 2548
731 7132 8485
732 4920 19562
733 19054 1932
734 8428 529
735 19820 15495
736 17582 17544
737 3769 1124
738 7640 188
739 12439 4644
740 7395 11989
741 4681 11321
742 4487 14099
743 18753 13019
744 14099 6464
745 9011 14696
746 3180 16506
747 16067 16143
748 14426 8099
749 4979 11473
750 6967 2854
751 16749 4798
752 2273 4548
753 1087 517
754 5160 9913
755 1901 9878
756 1198 12554
757 3004 2933
758 15952 2036
759 8499 18108
760 9155 10050
761 2907 13862
762 10004 12335
763 16785 15326
764 6798 4429
765 3634 1764
766 6561 10116
767 11015 382
768 898 5186
769 15098 12101
770 18330 2409
771 11314 13350
772 12635 15880
773 17915 14317
774 8776 8586
775 14987 2766
776 16627 17931
777 6617 17893
778 9570 6630
779 7410 19753
780 1516 16367
781 2834 7396
782 7777 4429
783 9614 13848
784 2301 5027
785 3787 1063
786 10764 630
787 16509 15101
788 9417 3398
789 11983 10776
790 13541 14545
791 8827 3321
792 17566 6519
793 9500 11795
794 11547 7135
795 19854 16909
796 4304 13063
797 13843 2687
798 16535 8433
799 9811 19808
800 870 18835
801 15816 13597
802 8697 7985
803 11383 12325
804 19452 14466
805 5362 19717
806 3038 9344
807 15862 14188
808 5982 603
809 4089 5361
810 18621 13880
811 3294 3942
812 6629 2925
813 7709 17136
814 16943 3163
815 1997 13871
816 7467 14164
817 18501 17812
818 6488 12516
819 3333 6235
820 5951 2291
821 11634 8694
822 2881 5340
823 2294 7495
824 12855 5214
825 15445 6383
826 10324 11476
827 10752 18739
828 15874 16952
829 16466 14812
830 8682 9169
831 19684 14814
832 8978 12500
833 5015 14536
834 770 15465
835 14108 8347
836 13392 3073
837 8412 5741
838 9588 12624
839 17837 7058
840 13440 18794
841 6621 13282
842 8372 115
843 13419 17372
844 8535 597
845 9765 9884
846 4698 13568
847 6068 5801
848 336 13675
849 5491 7434
850 12133 17458
851 530 15950
852 1691 5524
853 18148 5293
854 12350 7630
855 6423 12336
856 1969 2141
857 2256 13044
858 6767 10340
859 10937 12026
860 18261 11654
861 5221 17053
862 19205 2958
863 12984 11288
864 18722 19541
865 16998 14827
866 7128 7206
867 12729 13879
868 19171 5170
869 12799 7228
870 19564 11521
871 13661 19222
872 8617 17884
873 8224 12268
874 4293 15383
875 7036 15512
876 12564 2554
877 1863 8609
878 19896 11769
879 7661 11199
880 2377 14969
881 2174 1010
882 14888 9504
883 14674 11255
884 18482 14058
885 1930 3824
886 3045 14397
887 12281 11943
888 4210 8013
889 19748 16856
890 12367 4855
891 3760 3135
892 11743 1282
893 9402 1974
894 13172 11639
895 2959 13414
896 14423 11900
897 17756 1485
898 9091 5662
899 16072 8781
900 12604 3924
901 18321 18001
902 9943 12001
903 13 6953
904 3808 10505
905 15359 19760
906 2895 12526
907 10159 19118
908 1091 14637
909 2627 19561
910 12974 10615
911 18866 1938
912 3422 3749
913 9410 16621
914 5401 8864
915 12787 1833
916 19834 18005
917 6357 7459
918 14411 6128
919 16632 6369
920 6129 14570
921 3447 8342
922 7459 5375
923 11 13606
924 13166 4902
925 11868 18990
926 927 2491
927 6239 10733
928 3706 700
929 9563 12001
930 13833 5458
931 3462 2349
932 9808 10018
933 12498 6170
934 12539 570
935 15140 9129
936 17471 15019
937 393 18586
938 8543 1281
939 2534 16755
940 15744 1708
941 551 14401
942 1486 13022
943 13721 6789
944 15141 5191
945 10648 19635
946 1984 5326
947 11695 10462
948 16631 8143
949 5064 4192
950 13321 5521
951 539 16555
952 11493 7143
953 8423 931
954 17686 35
955 18095 7309
956 1709 9781
957 2803 18645
958 1785 19546
959 1088 16523
960 16158 16926
961 18603 11736
962 18549 14493
963 18987 10297
964 10841 11531
965 17052 4050
966 16957 513
967 7655 17590
968 14873 8449
969 8483 12429
970 16089 12558
971 2338 6577
972 5221 17798
973 13695 5140
974 18015 7006
975 283 14783
976 2870 10524
977 5016 15237
978 1885 1418
979 9300 354
980 755 12725
981 13237 6351
982 293 17711
983 6159 17243
984 6024 15165
985 7722 14642
986 17570 2112
987 16261 6411
988 7903 2791
989 6148 9956
990 1090 5917
991 16440 2782
992 18018 3959
993 5376 17807
994 14512 19902
995 8979 14675
996 17378 15266
997 12977 18567
998 12162 17670
999 12834 19135
1000 10128 14537
1001 13000 16907
1002 3317 7698
1003 6840 9261
1004 15568 7571
1005 13487 12987
1006 15768 13009
1007 16967 6278
1008 436 10137
1009 10038 18694
1010 9720 14947
1011 10213 15368
1012 13935 7097
1013 1118 19541
1014 18675 6096
1015 632 13951
1016 7209 8803
1017 12852 13631
1018 19243 10526
1019 14448 19691
1020 12677 11162
1021 4170 7935
1022 10564 4796
1023 14932 1136
1024 16181 7352
1025 2298 1321
1026 16689 5901
1027 12997 8862
1028 8402 6975
1029 13070 14115
1030 4417 3429
1031 8583 10053
1032 3683 11626
1033 18503 1434
1034 1124 19278
1035 6791 12950
1036 17236 10152
1037 14947 10961
1038 8448 7800
1039 11503 6230
1040 7550 4629
1041 10529 13800
1042 19014 590
1043 7564 19877
1044 13991 3767
1045 7195 16985
1046 7037 14760
1047 6385 15777
1048 17210 7072
1049 2701 1239
1050 10540 14685
1051 4836 9491
1052 451 7776
1053 11927 19782
1054 2363 5251
1055 9879 3429
1056 13580 6265
1057 6854 16759
1058 16635 8945
1059 12712 10770
1060 4106 6978
1061 1737 16258
1062 12035 11143
1063 14566 4473
1064 5711 5596
1065 16633 17266
1066 3108 16250
1067 377 1468
1068 17602 3559
1069 5161 12303
1070 12083 19964
1071 6228 15039
1072 11797 2015
1073 10959 9434
1074 16555 8431
1075 15408 3670
1076 19928 660
1077 11802 13496
1078 17968 8314
1079 10261 2719
1080 16336 30
1081 12632 6893
1082 4713 19444
1083 19354 13008
1084 1663 2314
1085 18629 4514
1086 19552 10097
1087 12111 4857
1088 10642 7700
1089 12482 3070
1090 3091 7196
1091 7855 7890
1092 17737 19370
1093 7683 16009
1094 18727 15705
1095 15734 14296
1096 1188 11415
1097 10858 8365
1098 17725 2252
1099 4565 10211
1100 14724 15739
1101 5835 3194
1102 4402 10627
1103 18326 17946
1104 17367 11395
1105 18590 10807
1106 15048 457
1107 19827 2796
1108 18804 12785
1109 4841 3861
1110 18156 13883
1111 1649 574
1112 5291 15696
1113 17947 12506
1114 19068 19367
1115 15105 18864
1116 18409 13791
1117 769 17291
1118 15236 19162
1119 10556 19094
1120 6252 12602
1121 9411 9145
1122 8292 17652
1123 10436 5589
1124 9449 3448
1125 13682 15276
1126 12201 3957
1127 19652 15330
1128 7835 13843
1129 9561 13950
1130 9165 6902
1131 17044 4665
1132 1956 7573
1133 6734 17812
1134 13257 13543
1135 2497 13641
1136 19137 15860
1137 13511 8259
1138 13847 7429
1139 10876 298
1140 11925 3295
1141 7251 4557
1142 19886 4126
1143 14320 3254
1144 13556 4072
1145 7325 3881
1146 4897 2720
1147 6645 4368
1148 18531 3204
1149 16747 9730
1150 3371 11787
1151 7646 15595
1152 3853 18859
1153 6287 17509
1154 17806 17699
1155 17345 13514
1156 14422 9731
1157 10208 948
1158 4201 10659
1159 14730 879
1160 4759 14108
1161 13180 2054
1162 2773 6008
1163 9211 16176
1164 5905 1303
1165 9441 2309
1166 17903 5627
1167 4486 17087
1168 10947 18107
1169 15805 7124
1170 638 8752
1171 14834 9502
1172 10449 11411
1173 2070 1393
1174 2272 11001
1175 5109 13151
1176 11557 3382
1177 9389 18288
1178 14463 14329
1179 11984 14952
1180 17260 16719
1181 2346 1424
1182 14862 11515
1183 5973 3183
1184 6658 5808
1185 10912 18130
1186 7631 7295
1187 15058 5745
1188 7138 18079
1189 9079 17127
1190 6629 5761
1191 9142 14187
1192 8826 18185
1193 8866 14883
1194 9834 19640
1195 16359 849
1196 18624 3445
1197 11311 15056
1198 14590 13486
1199 15645 17284
1200 15413 1247
1201 4894 6556
1202 12301 3043
1203 1121 19951
1204 13429 15790
1205 1550 6551
1206 738 57
1207 18242 7043
1208 1925 5915
1209 5555 3459
1210 659 8110
1211 11555 18265
1212 13320 19282
1213 9119 19217
1214 16500 4261
1215 5507 4764
1216 11319 8264
1217 11306 10400
1218 6702 19971
1219 12112 8778
1220 15329 130
1221 187 10013
1222 17056 12418
1223 14684 14780
1224 14590 18980
1225 7090 238
1226 14854 15248
1227 10881 14996
1228 14212 4525
1229 8785 20000
1230 1115 10712
1231 15327 10644
1232 1043 8785
1233 5108 6633
1234 11762 4097
1235 4226 17219
1236 7232 3442
1237 12211 764
1238 11895 4287
1239 19618 6895
1240 3484 2836
1241 18083 3059
1242 18054 18338
1243 19214 5316
1244 5315 8618
1245 15681 7999
1246 18642 2781
1247 11565 11007
1248 17639 16036
1249 132 13024
1250 10243 5753
1251 5546 710
1252 17825 13826
1253 14464 17757
1254 1003 6072
1255 8907 14081
1256 13492 4486
1257 19175 6990
1258 8657 11545
1259 162 18389
1260 2739 13971
1261 13103 15842
1262 6849 1380
1263 13767 1019
1264 14043 839
1265 2943 10251
1266 10960 4285
1267 14462 8489
1268 2597 5136
1269 11207 8925
1270 19357 3599
1271 4436 114
1272 3455 12848
1273 745 19963
1274 14703 12111
1275 2433 17258
1276 9452 17441
1277 15172 11887
1278 12905 16300
1279 13490 5290
1280 15540 6947
1281 7583 12785
1282 1273 2851
1283 7987 2044
1284 7320 3869
1285 3819 19193
1286 15658 6677
1287 15876 8254
1288 8216 15464
1289 3926 16620
1290 13878 19270
1291 16710 2710
1292 14596 19681
1293 12332 8233
1294 13523 7501
1295 14447 5821
1296 14957 5414
1297 8265 2030
1298 425 16229
1299 16449 16251
1300 11795 7745
1301 10773 16619
1302 4873 3805
1303 19268 6648
1304 19620 9440
1305 8710 3194
1306 2255 9849
1307 9529 1771
1308 6356 16851
1309 4351 1860
1310 4032 16230
1311 1643 15149
1312 17178 18989
1313 11569 9907
1314 2509 13955
1315 1699 4370
1316 988 14304
1317 18108 12471
1318 15470 2212
1319 8004 13727
1320 13272 11441
1321 1289 13065
1322 11187 15527
1323 12377 10817
1324 9028 17542
1325 10123 13079
1326 8227 13060
1327 8400 11766
1328 18024 5405
1329 19359 19968
1330 689 533
1331 11188 17409
1332 6231 1677
1333 240 9295
1334 19373 18052
1335 9493 8243
1336 1307 12645
1337 4523 10781
1338 17950 12494
1339 6387 16899
1340 9977 3329
1341 16388 16510
1342 4627 18203
1343 19959 1139
1344 17459 2650
1345 3182 15669
1346 9429 18147
1347 16175 10721
1348 15 15659
1349 10063 16415
1350 4657 15740
1351 4736 19555
1352 10335 2316
1353 11161 9258
1354 2508 4636
1355 7965 17547
1356 14056 12484
1357 7038 704
1358 1843 15034
1359 17684 3349
1360 15369 19301
1361 17447 17217
1362 7938 1150
1363 13160 13622
1364 6388 4304
1365 43 3222
1366 2776 11044
1367 9711 4778
1368 10387 9463
1369 14098 871
1370 18418 12894
1371 1729 2062
1372 19118 8825
1373 3859 8767
1374 8467 960
1375 260 17894
1376 15110 187
1377 1336 14058
1378 4031 3047
1379 3703 14496
1380 17717 10418
1381 17814 97
1382 4875 493
1383 6307 7524
1384 8395 15261
1385 4507 404
1386 18818 3164
1387 8340 6235
1388 11353 17935
1389 18894 8550
1390 6443 19819
1391 6 15505
1392 5914 17905
1393 17303 17693
1394 12188 9945
1395 362 1005
1396 1102 6257
1397 6749 14527
1398 2051 2328
1399 13940 13055
1400 9810 6797
1401 6312 18446
1402 4681 8627
1403 2913 11003
1404 19553 16033
1405 12204 18158
1406 13662 2347
1407 251 8561
1408 6253 15928
1409 5872 17554
1410 18558 18441
1411 1049 2585
1412 17112 16011
1413 18338 4149
1414 13555 15514
1415 18662 12278
1416 7075 3364
1417 8343 1325
1418 12327 11755
1419 4140 11255
1420 5765 11879
1421 14226 16343
1422 4903 15778
1423 11705 10828
1424 8381 11155
1425 5947 17576
1426 161 3291
1427 19301 6995
1428 11143 13624
1429 5489 13991
1430 2620 4697
1431 4413 4150
1432 1826 9694
1433 1449 12755
1434 361 14152
1435 2383 5588
1436 1930 6125
1437 1903 12960
1438 3787 3184
1439 14338 13607
1440 7535 12168
1441 11810 16637
1442 3631 4047
1443 17670 11110
1444 1452 11126
1445 12174 3158
1446 3659 4071
1447 13765 16586
1448 9340 5484
1449 15987 11565
1450 13504 6053
1451 12177 18369
1452 11328 15433
1453 14968 10431
1454 4038 11467
1455 3634 9305
1456 2293 11572
1457 15618 11795
1458 19256 2276
1459 13401 9639
1460 9148 708
1461 4778 5574
1462 2160 9158
1463 10993 14894
1464 6458 7851
1465 13903 6979
1466 5348 19961
1467 11745 2432
1468 12862 13027
1469 4493 6712
1470 12369 16899
1471 4822 4478
1472 16272 14661
1473 13288 16791
1474 2781 11880
1475 12587 6688
1476 8614 8280
1477 17437 17364
1478 8610 7125
1479 14975 8429
1480 11760 15067
1481 15028 5230
1482 7661 13459
1483 6485 6772
1484 9836 16874
1485 10125 7330
1486 8159 2204
1487 13216 14946
1488 8089 783
1489 12662 6504
1490 9543 10869
1491 15501 5248
1492 18963 18156
1493 1632 12937
1494 17718 7572
1495 2639 12959
1496 18188 9477
1497 2935 14018
1498 17141 2200
1499 19073 5771
1500 9452 3328
1501 1883 9197
1502 495 17611
1503 18393 15099
1504 17954 8583
1505 15803 11054
1506 12653 3848
1507 18356 7655
1508 592 11615
1509 15539 19987
1510 12945 14661
1511 489 14529
1512 8546 7484
1513 6035 3423
1514 5545 2038
1515 5366 5108
1516 10656 14997
1517 12607 7248
1518 18698 11150
1519 16084 7351
1520 18404 13003
1521 16851 8239
1522 15893 11056
1523 19022 15206
1524 15192 12836
1525 7496 10912
1526 5440 4489
1527 8324 7984
1528 7758 10337
1529 8727 14359
1530 19466 13303
1531 4651 14092
1532 17691 10121
1533 17623 13609
1534 959 16389
1535 9391 10058
1536 18296 19362
1537 6769 6241
1538 17798 10541
1539 3376 2142
1540 13054 9342
1541 13830 7224
1542 11559 14845
1543 1534 2153
1544 16511 19317
1545 8971 10260
1546 4351 12328
1547 18801 9973
1548 3581 2041
1549 14781 12775
1550 2832 4539
1551 3900 4172
1552 6764 17480
1553 8020 7020
1554 5513 4562
1555 10255 7747
1556 14970 14918
1557 9763 4084
1558 2588 6529
1559 2197 11296
1560 1555 15451
1561 4130 11167
1562 1139 2257
1563 4297 2930
1564 12056 4719
1565 5609 15430
1566 19601 14888
1567 8719 9508
1568 12879 2716
1569 3629 16738
1570 836 18391
1571 13309 13883
1572 14318 15806
1573 18686 19423
1574 7070 13258
1575 8708 882
1576 8400 8624
1577 10880 12837
1578 12119 5890
1579 10608 11528
1580 6957 4174
1581 15413 16216
1582 2075 2909
1583 1977 4131
1584 17220 11305
1585 6047 1957
1586 15840 18056
1587 10213 15707
1588 15129 6509
1589 19766 8898
1590 6131 2198
1591 7173 8473
1592 17662 14530
1593 419 14404
1594 2284 6132
1595 6657 7378
1596 19945 5592
1597 4853 2070
1598 2552 18371
1599 6027 6829
1600 8785 16124
1601 10531 12073
1602 7780 976
1603 7485 17095
1604 5992 19260
1605 17810 7250
1606 12075 8474
1607 3003 4982
1608 15738 9736
1609 15867 19773
1610 3502 18021
1611 3612 18875
1612 944 3446
1613 18168 4816
1614 11644 19848
1615 12323 4194
1616 12618 16781
1617 14108 19205
1618 16299 397
1619 16009 1592
1620 5194 2290
1621 10763 13818
1622 15151 17268
1623 3355 10117
1624 6241 10888
1625 5260 15573
1626 14447 9742
1627 9539 5224
1628 10039 11743
1629 11590 7706
1630 8251 1683
1631 14815 264
1632 19468 868
1633 17617 8922
1634 6866 15766
1635 14407 13625
1636 7442 12059
1637 9326 1521
1638 7989 2592
1639 9832 12680
1640 8252 14229
1641 3970 15091
1642 314 2698
1643 10792 9860
1644 13917 10353
1645 8387 18733
1646 18996 2167
1647 19386 3201
1648 8474 14815
1649 10580 17002
1650 6978 15339
1651 7397 1338
1652 2858 14419
1653 13363 13074
1654 2105 10846
1655 1426 3194
1656 14636 6708
1657 9406 1747
1658 11606 14950
1659 1654 16549
1660 15282 1874
1661 4040 10040
1662 9592 14277
1663 9092 19778
1664 13131 18065
1665 9756 16023
1666 17361 109
1667 14527 17152
1668 6578 16570
1669 7416 4241
1670 7434 8682
1671 15390 5193
1672 6940 2070
1673 13371 1147
1674 17695 14897
1675 16771 15024
1676 1415 12976
1677 3605 17162
1678 16939 11006
1679 5422 12696
1680 5070 10070
1681 10178 15177
1682 8681 2430
1683 19000 1056
